,x_location,y_location,predicted_rank
0,20000,0,0
1,20000,10000,0
2,20000,20000,0
3,20000,30000,0
4,20000,40000,0
5,20000,50000,0
6,20000,60000,0
7,20000,70000,0
8,20000,80000,0
9,20000,90000,0
10,20000,100000,0
11,20000,110000,0
12,20000,120000,0
13,20000,130000,0
14,20000,140000,0
15,20000,150000,0
16,20000,160000,0
17,20000,170000,0
18,20000,180000,0
19,20000,190000,0
20,20000,200000,0
21,20000,210000,0
22,20000,220000,0
23,20000,230000,0
24,20000,240000,0
25,20000,250000,0
26,20000,260000,0
27,20000,270000,0
28,20000,280000,0
29,20000,290000,0
30,20000,300000,0
31,20000,310000,0
32,20000,320000,0
33,20000,330000,0
34,20000,340000,0
35,20000,350000,0
36,20000,360000,0
37,20000,370000,0
38,20000,380000,0
39,20000,390000,0
41,20000,410000,0
42,20000,420000,0
43,20000,430000,0
44,20000,440000,0
45,20000,450000,0
46,20000,460000,0
47,20000,470000,0
48,20000,480000,0
49,20000,490000,0
51,20000,510000,0
52,20000,520000,0
53,20000,530000,0
54,20000,540000,0
55,20000,550000,0
56,20000,560000,0
57,20000,570000,0
58,20000,580000,0
59,20000,590000,0
60,20000,600000,0
61,20000,610000,0
62,20000,620000,0
63,20000,630000,0
64,20000,640000,0
65,20000,650000,0
66,20000,660000,0
67,20000,670000,0
68,20000,680000,0
69,20000,690000,0
70,20000,700000,0
71,20000,710000,0
72,20000,720000,0
73,20000,730000,0
74,20000,740000,0
75,20000,750000,0
76,20000,760000,0
77,20000,770000,0
78,30000,0,0
79,30000,10000,0
80,30000,20000,0
81,30000,30000,0
82,30000,40000,0
83,30000,50000,0
84,30000,60000,0
85,30000,70000,0
86,30000,80000,0
87,30000,90000,0
88,30000,100000,0
89,30000,110000,0
90,30000,120000,0
91,30000,130000,0
92,30000,140000,0
93,30000,150000,0
94,30000,160000,0
95,30000,170000,0
96,30000,180000,0
97,30000,190000,0
98,30000,200000,0
99,30000,210000,0
100,30000,220000,0
101,30000,230000,0
102,30000,240000,0
103,30000,250000,0
104,30000,260000,0
105,30000,270000,0
106,30000,280000,0
107,30000,290000,0
108,30000,300000,0
109,30000,310000,0
110,30000,320000,0
111,30000,330000,0
112,30000,340000,0
113,30000,350000,0
114,30000,360000,0
115,30000,370000,0
116,30000,380000,0
119,30000,410000,0
120,30000,420000,0
121,30000,430000,0
122,30000,440000,0
123,30000,450000,0
124,30000,460000,0
125,30000,470000,0
126,30000,480000,0
127,30000,490000,0
128,30000,500000,0
129,30000,510000,0
130,30000,520000,0
131,30000,530000,0
132,30000,540000,0
133,30000,550000,0
